date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:13:51	3136/3136	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Dec%202023%2022:13:50%20GMT	https://damnedgame.online/robots.txt		(from )
01:13:52	8876/8876	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Dec%202023%2022:13:52%20GMT	https://damnedgame.online/	/storage/emulated/0/HTTrack/Websites/damned/damnedgame.online/index.html	(from )
01:13:53	8876/8876	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Dec%202023%2022:13:52%20GMT	https://damnedgame.online/assets/images/download.png	/storage/emulated/0/HTTrack/Websites/damned/damnedgame.online/assets/images/download.html	(from https://damnedgame.online/)
01:13:54	8876/8876	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Dec%202023%2022:13:53%20GMT	https://damnedgame.online/assets/images/favicon.ico	/storage/emulated/0/HTTrack/Websites/damned/damnedgame.online/assets/images/favicon.html	(from https://damnedgame.online/)
01:13:55	11760/11760	---MCZ	200	added ('OK')	text/css	etag:W/%22dcc2c1f9ca03ffb5fc7e936ef3e4f9a9%22	https://damnedgame.online/assets/css/styles.css	/storage/emulated/0/HTTrack/Websites/damned/damnedgame.online/assets/css/styles.css	(from https://damnedgame.online/)
01:13:56	8876/8876	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Dec%202023%2022:13:55%20GMT	https://damnedgame.online/assets/css/fontawesome.css	/storage/emulated/0/HTTrack/Websites/damned/damnedgame.online/assets/css/fontawesome.html	(from https://damnedgame.online/)
01:13:57	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2005%20Dec%202023%2022:13:56%20GMT	https://damnedgame.online/index.html	/storage/emulated/0/HTTrack/Websites/damned/damnedgame.online/index-2.html	(from https://damnedgame.online/)
01:13:57	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2005%20Dec%202023%2022:13:57%20GMT	https://damnedgame.online/faq.html	/storage/emulated/0/HTTrack/Websites/damned/damnedgame.online/faq.html	(from https://damnedgame.online/)
01:13:59	4916/4916	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Dec%202023%2022:13:58%20GMT	https://damnedgame.online/faq	/storage/emulated/0/HTTrack/Websites/damned/damnedgame.online/faq.html	(from https://damnedgame.online/)
01:14:00	35285/35285	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Oct%202023%2018:40:00%20GMT	https://cdn.discordapp.com/attachments/1138198193352491111/1160647806177005618/Picsart_23-10-08_21-38-47-815.jpg?ex=65356c80&is=6522f780&hm=92f77f28b72543c16029988f92b083c6a9f159c041b35b1c2d1370ac72a23d06&	/storage/emulated/0/HTTrack/Websites/damned/cdn.discordapp.com/attachments/1138198193352491111/1160647806177005618/Picsart_23-10-08_21-38-47-8158dd6.jpg	(from https://damnedgame.online/)
01:14:02	44179/44179	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Oct%202023%2018:15:23%20GMT	https://cdn.discordapp.com/attachments/1138198193352491111/1160641610443395164/Picsart_23-10-08_21-14-40-252.jpg?ex=653566bb&is=6522f1bb&hm=f0ec4ecbc4c9c0cf96e85744cab02a47fc4945768d107f6f80a7da7a512f3fc9&	/storage/emulated/0/HTTrack/Websites/damned/cdn.discordapp.com/attachments/1138198193352491111/1160641610443395164/Picsart_23-10-08_21-14-40-2529ee8.jpg	(from https://damnedgame.online/)
01:14:02	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2005%20Dec%202023%2022:14:02%20GMT	https://damnedgame.online/eula.html	/storage/emulated/0/HTTrack/Websites/damned/damnedgame.online/eula.html	(from https://damnedgame.online/)
